Year,predictions,SPF,Actual
2005,3.5959972306667614,3.555454545454546,3.4832199999999975
2006,3.15908723219351,3.1880500769072198,2.7828100000000027
2007,1.9151375865842268,2.4995679012345673,2.01051
2008,0.8508675021264768,2.0370533333333327,0.12218999999999984
2009,-2.2976881452577587,-0.38012142857142844,-2.5998899999999976
2010,2.1296648191201655,2.428499203114407,2.7088599999999974
2011,1.953431219154621,2.5218326951281225,1.5498999999999974
2012,2.174096293528906,2.628319458760377,2.280689999999998
2013,1.8426552696307563,2.3460693931041594,1.8418700000000001
2014,1.872499363544342,2.5645124999999993,2.2877799999999984
2015,2.2649987195645944,2.6888451923076926,2.7063699999999975
2016,2.073675496429711,2.324994333333332,1.6674700000000018
2017,1.9643074465832708,2.307834042553191,2.255680000000004
2018,2.4008290824289595,2.354068131868132,2.918859999999997
2019,2.124899931031359,2.2165614457831335,2.288870000000002
2020,-0.2221212722372073,1.1192190476190478,-3.4045900000000042
