"","actual","pred_average","ts","year"
"14",3.48321999999999,3.56085616438356,4.36515505801315,2005
"15",2.78281000000001,3.23877274416869,3.82459596872829,2006
"18",2.01050999999999,2.49276437630325,1.74141141749912,2007
"21",0.122190000000001,1.88361485995856,0.0172375072828417,2008
"24",-2.59988999999998,-0.179451495685535,-4.40573790342482,2009
"28",2.70885999999998,2.41641737503767,2.33142461335364,2010
"32",1.54989999999999,2.5981363946539,1.78070696054351,2011
"36",2.28069000000003,2.63910622130308,2.24478237173186,2012
"40",1.84186999999998,2.36522914013934,1.74133811986332,2013
"44",2.28778000000004,2.58032867759563,1.52532655114287,2014
"48",2.70637000000004,2.66977872912802,2.33838176500834,2015
"52",1.66747,2.34146568190476,2.08604818400859,2016
"56",2.25567999999999,2.28681146692607,1.89588315231196,2017
"60",2.91886,2.32346176701031,2.69634617249188,2018
"64",2.28887000000001,2.20146786051502,2.35094561266611,2019
"68",-3.40459000000004,1.12915921247113,-0.654795354056115,2020
"17",0.4202197,0.4202197,0.4202197,0.4202197
